name,vacancy_rate,rental_stock,population,rental_pop,state,region
Northmead,1.17,59,11206.0,33.07,New South Wales,Parramatta
Constitution Hill,1.4,22,3966.0,34.65,New South Wales,Parramatta
Winston Hills,0.32,14,11666.0,12.03,New South Wales,Parramatta
Pendle Hill,2.02,61,7247.0,41.49,New South Wales,Cumberland
Girraween,1.87,41,5589.0,28.69,New South Wales,Cumberland
Wentworthville,2.0,118,11315.0,40.78,New South Wales,Cumberland
Westmead,2.35,180,16306.0,58.04,New South Wales,Parramatta
Parramatta,2.95,454,25793.0,59.44,New South Wales,Parramatta
Rosehill,3.26,74,3809.0,51.59,New South Wales,Parramatta
Harris Park,3.04,81,5798.0,61.39,New South Wales,Parramatta
Pennant Hills,0.9,27,7285.0,19.02,New South Wales,Hornsby
Cheltenham,0.9,103,22297.0,22.66,Victoria,Kingston
North Epping,0.69,11,4528.0,11.66,New South Wales,Hornsby
Gladesville,1.68,104,11826.0,32.73,New South Wales,Ryde
Huntleys Point,,0,145.0,17.07,New South Wales,Hunters Hill
Hunters Hill,1.12,38,9529.0,19.92,New South Wales,Hunters Hill
Woolwich,0.9,3,819.0,18.33,New South Wales,Hunters Hill
Macquarie Park,2.35,200,8140.0,59.28,New South Wales,Ryde
Marsfield,1.5,83,13295.0,37.11,New South Wales,Ryde
North Ryde,1.18,70,10859.0,21.92,New South Wales,Ryde
East Ryde,0.88,8,2453.0,9.83,New South Wales,Ryde
West Ryde,1.38,84,13397.0,40.98,New South Wales,Ryde
Meadowbank,2.17,74,4413.0,54.86,New South Wales,Ryde
Putney,0.66,10,4101.0,13.69,New South Wales,Ryde
Denistone,0.65,9,3748.0,16.32,New South Wales,Ryde
Eastwood,1.18,92,17868.0,31.99,New South Wales,Ryde
Ryde,1.88,294,26500.0,37.47,New South Wales,Ryde
Ashcroft,0.68,9,3582.0,43.19,New South Wales,Liverpool
Busby,1.45,22,4284.0,40.67,New South Wales,Liverpool
Miller,1.01,14,3242.0,51.53,New South Wales,Liverpool
Austral,2.4,153,3026.0,25.72,New South Wales,Liverpool
Greendale,0.4,1,605.0,1.3,Victoria,Moorabool
Badgerys Creek,,0,226.0,34.38,New South Wales,Liverpool
Cecil Hills,0.66,13,7016.0,12.92,New South Wales,Liverpool
Green Valley,0.62,24,12519.0,24.15,New South Wales,Liverpool
