Suburb,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%),Previous month sales,Stock on market previous month,Stock variance vs. last year (%),Average days on market
Wangi Wangi,989500.0,4.13,7.61,8.14,575.0,3.02,8.49,4.0,24.0,41.18,91.0
Rathmines,899000.0,2.8,5.88,12.51,655.0,3.78,15.92,1.0,7.0,-36.36,76.0
West Wallsend,780000.0,6.0,0.38,-1.27,660.0,4.4,5.6,3.0,9.0,-18.18,55.0
Barnsley,,-5.34,,,680.0,,,3.0,7.0,133.33,48.0
Killingworth,,,,,,,,0.0,2.0,100.0,
Adamstown,980000.0,1.57,6.52,3.15,650.0,3.44,0.0,9.0,19.0,-29.63,49.0
Kotara,900000.0,3.48,8.43,0.55,700.0,4.04,7.69,8.0,19.0,46.15,46.0
Beresfield,592500.0,2.58,-1.17,1.71,540.0,4.73,11.34,6.0,9.0,0.0,30.0
Hexham,,,,,,,,0.0,1.0,100.0,
Hamilton,447000.0,0.47,12.03,9.29,380.0,4.42,5.55,7.0,121.0,16.35,134.0
Broadmeadow,850000.0,-2.9,-11.92,4.93,650.0,3.97,0.0,2.0,10.0,100.0,67.0
Lambton,1075000.0,-2.39,7.76,13.15,640.0,3.09,7.56,6.0,15.0,-31.82,122.0
New Lambton,1100000.0,4.54,0.0,4.76,695.0,3.28,11.2,14.0,37.0,15.63,61.0
